TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.02,17.6,881.4,4.08E+11,20.5,7.89,7.64,170,160,0.288,0.093,0.407,0.427,0.011,0.014,2.71,3.28,539.5,686.1
0.01,17.6,1762.9,2.04E+11,105.0,7.68,7.6,176,144,0.683,0.203,0.536,1.323,0.012,0.013,2.24,0.98,542.1,588.6
0.02,18.5,924.7,3.89E+11,204.6,7.48,7.61,272,156,0.412,0.099,0.409,0.421,0.010,0.017,2.45,4.03,306.0,570.2
0.03,19.3,643.3,5.60E+11,314.9,7.64,7.56,174,166,0.309,0.104,0.780,1.927,0.012,0.011,1.54,0.57,367.4,353.4
0.05,18.6,372.4,9.67E+11,425.0,7.9,7.51,160,165,0.764,0.080,0.745,0.427,0.010,0.014,1.34,3.28,981.0,438.5
0.03,18.5,616.5,5.84E+11,536.0,7.92,7.48,154,170,0.972,0.063,0.511,1.569,0.011,0.011,2.15,0.70,375.3,212.1
0.03,18.0,600.0,6.00E+11,641.4,7.81,7.5,164,164,0.430,0.063,0.440,1.154,0.013,0.009,2.96,0.78,370.1,354.3
0.02,19.4,968.0,3.72E+11,748.9,7.69,7.39,163,166,0.545,0.095,0.912,2.401,0.014,0.014,1.54,0.58,345.5,208.9
0.02,19.0,949.5,3.79E+11,858.0,7.68,7.48,148,148,0.340,0.119,0.717,0.821,0.010,0.014,1.39,1.71,428.0,349.0
0.02,17.2,859.8,4.19E+11,963.1,7.71,7.57,172,138,0.157,0.094,0.386,0.326,0.012,0.016,3.11,4.91,339.4,301.6
0.02,18.7,937.1,3.84E+11,1070.7,7.45,7.48,162,166,0.481,0.118,0.136,0.423,0.014,0.014,1.05,3.31,299.5,547.8
0.03,19.0,633.0,5.69E+11,1180.6,7.61,7.44,170,178,0.274,0.088,0.213,0.294,0.012,0.011,5.64,3.74,224.7,251.6
0.02,18.8,940.2,3.83E+11,1289.7,7.68,7.63,166,178,0.313,0.126,1.809,2.013,0.023,0.023,1.27,1.14,354.3,353.0
0.02,18.9,946.4,3.80E+11,1399.1,7.34,7.44,180,178,0.226,0.132,0.487,0.739,0.016,0.018,3.29,2.44,288.4,144.9
0.02,19.5,974.2,3.70E+11,1510.8,7.68,7.37,198,186,0.256,0.103,0.695,0.382,0.017,0.014,2.45,3.67,281.9,1164.0
0.05,19.0,379.8,9.48E+11,1620.6,7.47,7.36,142,176,0.169,0.063,0.659,0.856,0.015,0.018,2.28,2.10,318.7,287.1
0.02,18.9,943.3,3.82E+11,1729.1,7.76,7.41,246,206,0.200,0.075,0.802,0.686,0.019,0.021,2.37,3.06,277.9,266.1
0.02,19.0,949.5,3.79E+11,1839.9,7.71,7.6,222,208,0.241,0.119,0.663,0.384,0.017,0.015,2.56,3.91,284.5,249.0
0.05,19.2,383.5,9.39E+11,1950.7,7.53,7.61,148,190,0.256,0.122,0.329,0.197,0.015,0.012,4.56,6.08,202.9,173.9
0.04,18.6,465.5,7.73E+11,2060.6,7.45,7.29,184,160,0.266,0.102,0.466,0.989,0.012,0.018,2.58,1.82,77.8,212.1
0.03,18.7,622.7,5.78E+11,2170.4,7.54,7.48,138,178,0.186,0.125,0.408,0.355,0.014,0.013,3.43,3.66,204.2,179.2
0.03,18.7,622.7,5.78E+11,2279.1,7.45,7.33,152,152,0.208,0.084,1.112,1.348,0.012,0.015,1.08,1.11,372.7,267.4
0.03,18.1,604.1,5.96E+11,2387.3,7.54,7.4,174,178,0.193,0.085,1.030,1.498,0.016,0.014,1.55,0.93,329.3,227.9
0.03,18.9,628.9,5.72E+11,2497.0,7.5,7.36,180,174,0.178,0.076,1.165,1.401,0.023,0.014,1.97,1.00,305.6,185.8
0.03,18.4,614.4,5.86E+11,2606.0,7.37,7.26,192,182,0.294,0.069,0.902,0.845,0.015,0.015,1.66,1.78,275.3,140.1
0.03,18.7,624.7,5.76E+11,2714.7,7.62,7.32,178,182,0.343,0.074,1.104,1.059,0.012,0.010,1.09,0.94,177.9,178.7
0.03,18.9,630.9,5.71E+11,2823.7,7.74,7.38,172,192,0.414,0.061,1.199,1.446,0.011,0.010,0.92,0.69,259.5,119.9
0.03,18.9,628.9,5.72E+11,2933.9,7.25,7.48,210,196,0.171,0.071,1.240,1.345,0.011,0.009,0.89,0.67,342.4,399.0
0.03,19.1,637.1,5.65E+11,3044.1,7.26,7.41,164,186,0.267,0.064,1.280,1.244,0.014,0.011,1.09,0.88,331.9,233.2
0.03,19.0,633.0,5.69E+11,3154.3,7.73,7.37,162,192,0.244,0.115,1.090,1.457,0.008,0.008,0.73,0.55,248.9,156.8
0.03,18.6,620.6,5.80E+11,3263.5,7.5,7.37,212,202,0.219,0.073,1.286,0.987,0.012,0.012,0.93,1.22,196.3,166.0
0.03,19.0,633.0,5.69E+11,3374.7,6.84,7.19,170,184,0.310,0.074,1.077,1.585,0.011,0.008,1.02,0.50,195.0,133.1
0.03,19.5,649.5,5.54E+11,3485.2,7.65,7.25,184,188,0.820,0.068,1.560,1.592,0.016,0.012,1.03,0.75,193.7,131.8
0.03,18.7,624.7,5.76E+11,3595.1,7.27,7.22,146,164,0.190,0.082,1.229,1.483,0.012,0.011,0.98,0.74,100.2,84.4
0.03,18.9,628.9,5.72E+11,3706.0,7.22,7.15,164,1.6,0.207,0.128,1.207,1.692,0.015,0.012,1.24,0.71,117.3,160.7
0.03,19.0,633.0,5.69E+11,3816.9,7.14,7.12,170,164,0.637,0.080,1.230,1.162,0.010,0.009,0.81,0.77,281.9,92.3
0.04,18.6,463.9,7.76E+11,3926.8,6.96,7.31,168,176,0.200,0.068,0.420,0.371,0.009,0.013,2.14,3.51,949.4,891.4
0.04,19.6,490.2,7.34E+11,4038.3,7.16,7.04,198,198,0.168,0.114,0.623,0.558,0.012,0.015,1.93,2.69,248.9,62.0
0.04,18.9,473.2,7.61E+11,4150.2,7.43,7.16,178,164,0.235,0.080,0.363,0.593,0.012,0.012,3.31,2.02,238.4,21.2
0.04,19.1,477.8,7.53E+11,4260.7,7.18,6.88,132,166,0.229,0.075,0.995,1.043,0.011,0.013,1.11,1.25,597.8,197.6
0.05,19.2,383.5,9.39E+11,4371.6,6.9,6.72,142,140,0.190,0.074,1.067,0.915,0.016,0.011,1.50,1.20,248.9,154.2
0.05,19.2,383.5,9.39E+11,4482.6,7.17,6.95,136,146,0.195,0.089,0.952,1.089,0.013,0.014,1.37,1.29,234.5,69.9
0.06,19.4,322.7,1.12E+12,4595.0,7.14,7.1,160,164,0.247,0.082,0.848,0.785,0.014,0.015,1.65,1.91,266.1,83.1
0.05,19.0,379.8,9.48E+11,4706.2,7.24,7.18,146,146,0.143,0.067,1.427,0.798,0.015,0.015,1.05,1.88,156.8,71.2
0.06,18.7,312.4,1.15E+12,4814.4,7.33,6.85,150,154,1.100,0.125,1.177,1.044,0.013,0.014,1.10,1.34,292.4,113.3
0.07,18.3,261.6,1.38E+12,4923.6,7.47,6.82,150,136,1.600,0.072,1.581,1.059,0.015,0.014,0.95,1.32,285.8,91.0
0.09,19.4,215.8,1.67E+12,5033.8,6.92,6.75,126,138,0.205,0.079,1.201,0.967,0.017,0.015,1.42,1.55,223.9,67.2
0.08,18.6,232.0,1.55E+12,5144.6,7.13,6.86,180,158,0.205,0.067,1.489,1.185,0.016,0.013,1.07,1.10,119.9,80.3
0.1,19.1,191.1,1.88E+12,5255.1,7.08,6.69,160,164,0.204,0.081,1.372,1.465,0.014,0.016,1.02,1.09,171.3,72.5
0.09,18.4,204.1,1.76E+12,5559.2,7.24,6.9,136,150,0.221,0.076,1.217,1.004,0.014,0.011,1.15,1.10,245.0,170.0
0.09,19.7,218.6,1.65E+12,5670.8,7.12,6.92,158,148,0.229,0.111,1.689,1.159,0.012,0.011,0.71,0.95,433.3,26.5
0.1,18.4,184.3,1.95E+12,5778.6,7.42,7.21,144,142,0.237,0.090,1.464,1.252,0.015,0.010,1.02,0.80,312.1,62.0
0.11,18.6,168.7,2.13E+12,5886.1,7.22,6.87,138,120,0.386,0.072,1.886,1.267,0.017,0.010,0.90,0.79,234.5,22.5
0.1,18.2,182.5,1.97E+12,5993.6,7.43,6.72,158,140,0.404,0.730,1.404,1.202,0.013,0.013,0.93,1.08,383.2,63.3
0.1,18.4,184.3,1.95E+12,6100.8,7.23,6.94,158,164,0.277,0.089,1.310,1.288,0.012,0.014,0.92,1.09,277.9,116.0
0.09,17.9,199.3,1.81E+12,6208.0,7.1,7.06,166,154,0.275,0.100,1.376,1.201,0.012,0.017,0.87,1.42,363.5,14.6
0.1,19.2,192.4,1.87E+12,6317.6,7.28,6.81,184,182,0.287,0.087,1.959,1.176,0.014,0.015,0.71,1.28,404.3,1.4
0.09,18.5,205.5,1.75E+12,6425.4,7.25,7.1,182,184,0.165,0.099,1.281,1.137,0.015,0.013,1.17,1.14,272.6,38.3
0.08,18.4,229.6,1.57E+12,6534.0,7.47,6.91,206,210,0.747,0.116,1.415,1.392,0.015,0.016,1.06,1.15,277.9,23.8
0.09,18.6,206.2,1.75E+12,6642.6,7.58,7.17,200,192,0.288,0.074,1.813,1.143,0.015,0.013,0.83,1.14,403.0,73.7
0.09,18.5,205.5,1.75E+12,6750.9,7.51,6.88,190,174,0.546,0.070,1.380,1.032,0.018,0.016,1.30,1.55,318.7,37.0
0.09,18.4,204.8,1.76E+12,6857.9,7.3,6.67,180,174,0.574,0.071,1.176,1.184,0.012,0.010,1.02,0.84,349.0,65.8
0.09,18.6,206.2,1.75E+12,6966.7,7.86,7.3,184,180,0.351,0.084,1.255,1.148,0.017,0.014,1.35,1.22,306.9,13.3
0.09,18.5,205.5,1.75E+12,7075.9,7.46,7.23,180,174,0.225,0.103,1.555,0.988,0.014,0.017,0.90,1.72,247.6,76.4
0.09,18.9,210.3,1.71E+12,7186.3,7.61,7.17,170,178,0.725,0.081,1.103,1.267,0.010,0.016,0.91,1.26,354.3,10.7
0.09,18.7,207.6,1.73E+12,7297.7,7.47,7.19,170,170,0.324,0.096,1.141,1.134,0.013,0.015,1.14,1.32,317.4,76.4
0.09,19.0,211.0,1.71E+12,7408.3,7.41,7.23,178,164,0.188,0.100,1.346,1.001,0.012,0.017,0.89,1.70,241.0,97.5
0.09,19.3,214.4,1.68E+12,7521.0,7.54,7,178,162,0.900,0.112,1.518,1.088,0.012,0.014,0.79,1.29,235.8,4.1
0.09,19.7,218.6,1.65E+12,7633.3,7.76,7.28,170,168,0.320,0.112,1.414,1.195,0.017,0.014,1.20,1.17,360.9,73.7
0.1,19.0,189.9,1.90E+12,7745.2,7.67,7.27,166,170,0.715,0.124,1.322,0.976,0.008,0.013,0.61,1.33,430.6,18.6
0.1,19.3,193.0,1.87E+12,7856.4,7.58,7.2,168,158,0.372,0.119,1.581,1.472,0.010,0.012,0.63,0.82,326.6,31.6
0.1,19.7,197.3,1.82E+12,7969.1,7.76,7.24,170,164,0.227,0.124,0.722,1.402,0.007,0.009,0.97,0.64,291.1,76.4
0.11,19.8,179.9,2.00E+12,8083.7,7.77,7.29,160,170,0.764,0.128,0.948,0.911,0.006,0.009,0.63,0.99,175.2,89.6
