TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.02,17.62886598,881.443299,4.08421E+11,20.52,7.89,7.64,170,160,0.288,0.093,0.4066,0.4265,0.011,0.014,2.705361535,3.282532239,539.4731464,686.05
0.01,17.62886598,1762.886598,2.04211E+11,105.048,7.68,7.6,176,144,0.683,0.203,0.536,1.323,0.012,0.013,2.23880597,0.982615268,542.1062926,588.63
0.02,18.49484536,924.742268,3.89298E+11,204.552,7.48,7.61,272,156,0.412,0.099,0.4086,0.4214,0.01,0.017,2.447381302,4.034171808,306.0008481,570.19
0.03,19.29896907,643.2989691,5.59615E+11,314.928,7.64,7.56,174,166,0.309,0.104,0.7804,1.927,0.012,0.011,1.537672988,0.570835496,367.4409266,353.40
0.05,18.6185567,372.371134,9.66777E+11,425.016,7.9,7.51,160,165,0.764,0.08,0.7454,0.4269,0.01,0.014,1.341561578,3.279456547,980.9639961,438.54
0.03,18.49484536,616.4948454,5.83946E+11,536.04,7.92,7.48,154,170,0.972,0.063,0.5114,1.569,0.011,0.011,2.150958154,0.701083493,375.3403652,212.09
0.03,18,600,6E+11,641.448,7.81,7.5,164,164,0.43,0.063,0.4396,1.154,0.013,0.009,2.957233849,0.779896014,370.0740728,354.28
0.02,19.36082474,968.0412371,3.71885E+11,748.872,7.69,7.39,163,166,0.545,0.095,0.9115,2.401,0.014,0.014,1.535929786,0.583090379,345.4980414,208.93
0.02,18.98969072,949.4845361,3.79153E+11,858.024,7.68,7.48,148,148,0.34,0.119,0.7173,0.8206,0.01,0.014,1.394116827,1.70606873,428.0032897,349.01
0.02,17.19587629,859.7938144,4.18705E+11,963.144,7.71,7.57,172,138,0.157,0.094,0.3856,0.3259,0.012,0.016,3.112033195,4.909481436,339.3540336,301.61
0.02,18.74226804,937.1134021,3.84158E+11,1070.712,7.45,7.48,162,166,0.481,0.118,0.1356,0.4233,0.014,0.014,1.048218029,3.307347035,299.5057541,547.81
0.03,18.98969072,632.9896907,5.6873E+11,1180.584,7.61,7.44,170,178,0.274,0.088,0.2127,0.2938,0.012,0.011,5.641748942,3.744043567,224.7244014,251.58
0.02,18.80412371,940.2061856,3.82895E+11,1289.664,7.68,7.63,166,178,0.313,0.126,1.809,2.013,0.023,0.023,1.271420674,1.142573274,354.2751955,352.96
0.02,18.92783505,946.3917526,3.80392E+11,1399.104,7.34,7.44,180,178,0.226,0.132,0.4868,0.7387,0.016,0.018,3.286770748,2.436713145,288.4465399,144.94
0.02,19.48453608,974.2268041,3.69524E+11,1510.776,7.68,7.37,198,186,0.256,0.103,0.6946,0.3817,0.017,0.014,2.447451771,3.667801939,281.8636744,1163.97
0.05,18.98969072,379.7938144,9.47883E+11,1620.648,7.47,7.36,142,176,0.169,0.063,0.659,0.8558,0.015,0.018,2.276176024,2.103295162,318.7277215,287.13
0.02,18.86597938,943.2989691,3.81639E+11,1729.08,7.76,7.41,246,206,0.2,0.075,0.8017,0.686,0.019,0.021,2.369963827,3.06122449,277.9139551,266.06
0.02,18.98969072,949.4845361,3.79153E+11,1839.888,7.71,7.6,222,208,0.241,0.119,0.663,0.3837,0.017,0.015,2.564102564,3.909304144,284.4968206,248.95
0.05,19.17525773,383.5051546,9.3871E+11,1950.696,7.53,7.61,148,190,0.256,0.122,0.3287,0.1973,0.015,0.012,4.563431701,6.082108464,202.8692878,173.90
